subject,subcategory,question,a,b,c,d,answer,long_explanation,short_explanation
Phys,4E: Atomic Nucleus,"One radioactive isotope of aluminium, ^{26}_{13}Al, can capture an electron in a common type of nuclear reaction. The result of this electron capture is:",^{26}_{12}Mg,^{26}_{12}Al,^{26}_{13}Si,^{22}_{11}Na,A,"*When ^{26}_{13}Al captures an electron, it becomes ^{26}_{12}Mg. 
*This electron fuses with a proton and neutralizes it, causing it to be come a neutron. 
*Determining to identity of the product of this reaction is made easier by setting up and balancing a chemical equation:
^{26}_{13}Al + ^0_{-1}e --> ^{26}_{12}Mg","*^{26}_{13}Al captures an electron and becomes ^{26}_{12}Mg:
^{26}_{13}Al + ^0_{-1}e --> ^{26}_{12}Mg
*The electron neutralizes a proton, decreasing the atom's atomic number."
Phys,4E: Atomic Nucleus,Neutron capture involves the collision of a nucleus with a neutron and is one of the ways the heavier elements are formed. Neutron capture results in:,an increase in atomic number only.,an increase in mass number only.,an increase in both mass and atomic number.,a decrease in both mass and atomic number.,B,"*Neutron capture results in the immediate increase of mass number but no change in atomic number. 
*This process takes place in stars and as a by product of controlled nuclear reactions. 
*The balanced equation that describes the reaction is the following:
^m_zX + ^1_0n --> ^{m+1}_{z}X","*Neutron capture results in the immediate increase of mass number but no change in atomic number:
^m_zX + ^1_0n --> ^{m+1}_zX"
Soc,Sociological Perspectives,"Which of the following are examined by macrosociologists?
   I. Phenomena that affect populations.    
   II. Poverty and crimes rates.
   III. Patterns among institutional and social structures.",I only,II only,I and II only,"I, II, and III",D,"*Macrosociology deals with the patterns and trends that affect large groups of people, which in this case, involves all of the examples.   
*I. is the definition of macrosociology.   
*II. Poverty and crime rates are measurements of large groups of people and hence instances of macrosociology.   
*III. Macrosociologists are interested in institutional and social patterns since they represent norms that affect large groups of people.
","*Macrosociology deals with patterns and trends that affect entire populations.   
*I, II, and III are all aspects of this large scale focus."
Soc,Sociological Perspectives,Functionalism is a sociological theory that:,examines adaptations made by different institutions and social structures to maintain stability in a society.,examines how individuals assign value to the material things in their lives.,examines how a new social structure emerges as a result of a conflict.,examines the basic social hierarchy that exists in society.,A ,"*Functionalism examines the way in which the pieces of society work together to reach an equilibrium that allows for stability in society.   
*Functionalism is interested in the evolution, structure, and functions of society.  ",*Functionalism examines the way in which the pieces of society work to create a stable social equilibrium.
Soc,Sociological Perspectives,Which of the following is NOT a of conflict theory?,Institutions perpetrate inequality.,Conflict arises because of the scarcity of resources.,Conflicts necessarily result in the satisfaction of both parties.,Institutions protect the wealthy,C,"*Conflict theory examines how society produces inequalities that lead to conflict.   
*These conflicts are a result of the disproportionate allocation of scarce resources. 
*Conflict theorists do not predict the satisfaction of either or both parties.","*Conflict theorist examine the inequalities of society and the resulting conflict.   
*Conflict theorists do not necessarily predict the outcomes of conflict."
Soc,Sociological Perspectives,Which of the following are analyzed by microsociologists? I. Interactions within families. II. Bullying within a school. III. Interactions among several hospital systems.,I only,I and II only,I and III only,"I, II, and III",B,"*Microsociology deals with interactions at the individual level, including within families and between students.   
*Interactions between hospitals and health care trends deal with macroscopic aspects of society and not evaluated with microsociology. They are topics in macrosociology as they examine population trends.","*Microsociologists examine interactions between individuals in society.  
*Macroscopic topics (III) are not covered."
Soc,Sociological Perspectives,Symbolic interactionism is a sociological perspective that: ,examines adaptations made by institutions and social structures to maintain stability in a society.,"examines how individuals assign meaning to objects, events, and interactions.",examines how a new social structure emerges as a result of tension.,examines the basic social hierarchy that exists in society.,B,"*Symbolic interactionism examines the process by which individuals assign meaning to objects, events, and interactions.   
*It examines how people interpret different aspects of their lives and the role society plays in shaping their values.   
*Individuals act on what they believe to be though not necessarily on what is objectively true. ","*Symbolic interactionism examines the process by which meaning is assiged to objects, events, and interactions. "
Soc,Sociological Perspectives,Individuals that adhere to the conservative view of institutions would most likely agree with which of the following?,Institutions threaten the well-being of society.,"Without sufficient regulation, institutions tend to function in a capacity that harms society as a whole.",Government and institutions should have little power.,Institutions are a natural byproduct of society that satisfy specific needs.,D,"*Conservatives view institutions as necessary (even foundational) aspects of society.   
*Institutions emerge to satisfy a need. For example, pharmaceutical companies exist because of the demand for treatments to illness.   
*Regulation, according to conservatives, interferes with institution's ability to meet the needs of society.","*Conservatives believe institutions to be a necessary aspect of society.   
*They arise to fulfill and unmet need."
Soc,Sociological Perspectives,Individuals that adhere to the progressive view of institutions would most likely agree with which of the following?,"In order to maximize efficiency, institutions should face as little regulation as possible.","Without sufficient regulation, institutions tend to function in a capacity that harms society as a whole.",Government and institutions should have little power.,Institutions are a natural byproduct of society that satisfy specific needs.,B,"*Progressives view institutions as artificial constructs that need to be restructured if they are to be beneficial to society.   
*They believe institutions can lead to inequality without proper oversight.   
*They assert that institutions are not driven by the welfare of society and are self-interested entities.","*Progressives believe institutions to be artificial constructs that are not necessarily beneficial.  
*They believe oversight is necessary in order to minimize inequality."
Soc,Sociological Perspectives,"After the 2008 recession, the suicide rate in the country increased significantly. Elected officials allocated more resources toward invigorating the economy but also toward increasing the availability of mental health treatment options. Which of the following sociological perspectives would best explain why the government used resources to address mental health?",Social stratification,Functionalism,Conflict theory,Political inequality,B,"*Functionalism examines how the pieces of society work together to reach an equilibrium that allows for stability in society.   
*In this case, the recession caused a disturbance in the equilbrium of society (the rate of suicides increased). As a result, society had to adjust in order to reestablish a healthy equilbrium (i.e. allocating resources toward mental health and toward financial recovery).","*Functionalism evaluates the pieces of society that fit together in order for the society to reach a stable equilibrium.  
*The recession caused a disruption from equilibrium, and the elected officials changed policy in order to regain it."
Soc,in passage include question about confirmation bias,"Since the rise of cable news, polarization in politics has dramatically increased. Some attribute cable news shows' limited perspectives for contributing to this phenomenon. Instead of watching network news, which gives a variety of political perspectives, viewers turn to news stations that reflect their political perspectives. Which of the following psychological principles best explains this shift in news consumption?",Symbolic interactionism,Conflict theory,Social stratification,Homophily,D,"*Homophily (""love of same"") is the tendency for individuals to associate with others with similar ideas and viewpoints.   
*With the rise of polarized news networks, consumers are able to view news that advocates viewpoints they agree with while avoiding exposure to alteratives.   
*They seek news stations that share and reinforce their political views.","*Homophily (""love of same"") is an individual's tendency to associate with others that have similar viewpoints.   "
Soc,Sociological Perspectives,"The continued development of the internet and free software is said to level the economic playing field. Individuals with limited resources are now able reach large audiences and launch tech businesses without the high upfront costs of traditional corporations. As a result, socioeconomic mobility appears to be increasing. This socioeconomic mobility would likely be most close evaluated by adherents to which of the following sociological perspectives?",Symbolic interactionism,Conflict theory,Social Stratification,Homophily,C,"*Social stratification is a theory that examines the social and economic hierarchy present in society.   
*This hierarchy is determined by many factors, including individual wealth, upbringing, and education.
*In this case, socioeconomic mobility represents a change in the social hierarchy as people gain additional opportunities to improve their socioeconomic status and their position in the social hierarchy.","*Social stratification is a theory that examines the social and economic hierarchy present in society.   
*The rise of accessible technology increases socioeconomic mobility, disrupting social stratification."
Soc,Sociological Perspectives,Text messages are often a difficult medium to convey tone. Many individuals find their text messages misinterpreted because their tone is lost. The sociological perspective to which this miscommunication most pertains is:,symbolic interactionism.,conflict theory.,social stratification.,homophily.,A,"*Symbolic interactionism looks at how individuals assign meaning to objects, events and interactions.   
*In the cited example, the recipients misterpreted the text messages they received.   
*Those sociologists that examine the symbolic interactionist perspective evaluate these interactions.","*Symbolic interactionism looks at how individuals assign meaning to objects, events and interactions.   
*The sender and recipient of the text messages assign different meanings to the text."
Soc,Sociological Perspectives,"In the United States government, Congress is divided between the Senate and the House of Representatives. The smaller size and greater power of each Senator gives the Senate an egalitarian atmosphere. One dissenting member can express his opinion for an unlimited amount of time. In the House, the large number of representatives and the rules favor the majority. This results in a pressure for each member to align with a party, when trying to influence activity. Freshman members defer to more senior members and party leadership. Based on this information, the House has a much stronger affinity toward:",symbolic interactionism.,conflict.,homophily.,social stratification.,D,"*Social stratification is a theory that examines the social hierarchy created by society.   
*As described, the House of Representatives has developed a clear social structure and hierarchy based on the rules and traditions of the body.","*Social stratification is a theory that examines the social hierarchy created by society.   
*The House has developed a clear hierarchy based on its structure."
Soc,Interactions,"Often after a student finishes college, parents provide financial assistance as their child transitions to the workforce. What kind of social support are the parents providing by helping their child financially? ",Emotional support,Tangible support,Informational support,Money is not a form of social support,B,"*Social support is divided into four categories: emotional, tangible, informational, and companionship.   
*Tangible support refers to the concrete actions or assistance people receive from others.   
*In this case, the child is receiving concrete assistance (money) from his parents.","*Social support is divided into four categories: emotional, tangible, informational, and companionship.   
*Tangible support is the concrete assistance received from others."
